source,policy,model,people,deaths,estimand,estimate,ci_low,ci_high
mimic_iv,concordant_only,age_sex,3404,433,risk_0.50,0.13505133242322204,0.10619482858818927,0.16482076054726527
mimic_iv,concordant_only,age_sex,3404,433,average_marginal_risk_difference,0.008747387237936497,-0.0017594702716516154,0.018665900519638436
mimic_iv,concordant_only,age_sex_severity,3404,433,risk_0.00,0.12826300162063572,0.11363885806576289,0.1432247903355767
mimic_iv,concordant_only,age_sex_severity,3404,433,risk_0.10,0.12718247508912633,0.10943397892443245,0.14608039104270637
mimic_iv,concordant_only,age_sex_severity,3404,433,risk_0.25,0.12384761483103922,0.09482441433175573,0.15583877513088776
mimic_iv,concordant_only,age_sex_severity,3404,433,risk_0.50,0.11313939644816373,0.08981172542770835,0.13559563303120048
mimic_iv,concordant_only,age_sex_severity,3404,433,average_marginal_risk_difference,-0.0007101687967325993,-0.009887819383361265,0.008244097237256515
mimic_iv,cuff_only,age_sex,3782,483,risk_0.00,0.10296524529417725,0.08838708704700722,0.11783615741797585
mimic_iv,cuff_only,age_sex,3782,483,risk_0.10,0.12205275570668801,0.10784246907768984,0.13635347121852076
mimic_iv,cuff_only,age_sex,3782,483,risk_0.25,0.14564740037335627,0.12254048598335293,0.16929975439863998
mimic_iv,cuff_only,age_sex,3782,483,risk_0.50,0.14237439183382739,0.12090541842764457,0.16624240938229523
mimic_iv,cuff_only,age_sex,3782,483,average_marginal_risk_difference,0.010146140763697091,0.0049316984998166394,0.01497917738592013
mimic_iv,cuff_only,age_sex_severity,3782,483,risk_0.00,0.1256478284382379,0.10908131184231616,0.1422060531101072
mimic_iv,cuff_only,age_sex_severity,3782,483,risk_0.10,0.13053900653475367,0.11641888453372472,0.14432099349654606
mimic_iv,cuff_only,age_sex_severity,3782,483,risk_0.25,0.1346257798744483,0.11489793452105389,0.15534611543018498
mimic_iv,cuff_only,age_sex_severity,3782,483,risk_0.50,0.12660829242484853,0.10888181453452378,0.14609263647427626
mimic_iv,cuff_only,age_sex_severity,3782,483,average_marginal_risk_difference,0.0012835733818335846,-0.003295631939287814,0.005903047583021536
sicdb,any_sensor,age_sex,1208,111,risk_0.00,0.053733883907707655,0.02789028673438994,0.08394971806436358
sicdb,any_sensor,age_sex,1208,111,risk_0.10,0.07570225784108166,0.05072019002234313,0.10157068439457763
sicdb,any_sensor,age_sex,1208,111,risk_0.25,0.10825255347408755,0.07176574562170794,0.1511015244920477
sicdb,any_sensor,age_sex,1208,111,risk_0.50,0.09875457438072971,0.06864141242052563,0.13249662710574822
sicdb,any_sensor,age_sex,1208,111,average_marginal_risk_difference,0.007090433842913028,0.002240877633641435,0.011326583424422628
sicdb,any_sensor,age_sex_severity,1208,111,risk_0.00,0.06448464623318012,0.035091676621365524,0.09730102728791457
sicdb,any_sensor,age_sex_severity,1208,111,risk_0.10,0.08318673552235406,0.057121384172622656,0.11190249332105276
sicdb,any_sensor,age_sex_severity,1208,111,risk_0.25,0.10760226682620037,0.07086601629887113,0.145535243468137
sicdb,any_sensor,age_sex_severity,1208,111,risk_0.50,0.09755785369012335,0.06860945829924199,0.1278629695727244
sicdb,any_sensor,age_sex_severity,1208,111,average_marginal_risk_difference,0.0042755578874681096,0.00004464350087046937,0.007836740250186401
sicdb,arterial_only,age_sex,1208,111,risk_0.00,0.0719994450083816,0.04684701457192089,0.09983611092718812
sicdb,arterial_only,age_sex,1208,111,risk_0.10,0.07811056751048474,0.056746683459602335,0.10138584990427242
sicdb,arterial_only,age_sex,1208,111,risk_0.25,0.08513577860051703,0.055267092422102405,0.12089227004933668
sicdb,arterial_only,age_sex,1208,111,risk_0.50,0.08814933416678071,0.060773245402016104,0.11755355105950538
sicdb,arterial_only,age_sex,1208,111,average_marginal_risk_difference,0.005469134991513756,-0.0011625787132272711,0.011755281969312317
sicdb,arterial_only,age_sex_severity,1208,111,risk_0.00,0.083483078693797,0.05650755648549542,0.11346220396412023
sicdb,arterial_only,age_sex_severity,1208,111,risk_0.10,0.08104826912294912,0.05997358363561633,0.10385386527245459
sicdb,arterial_only,age_sex_severity,1208,111,risk_0.25,0.08037881827091502,0.0542775867794641,0.11031407352226236
sicdb,arterial_only,age_sex_severity,1208,111,risk_0.50,0.09095689947930083,0.06510417434476479,0.11970977977520682
